,author,contents
0,," '1theK Originals-원더케이 오리지널' 채널 오픈! 

 원더케이 꿀잼 소식을 받아보려면?

Subscribe Now! https://www.youtube.com/channel/UCqq-ovGE01ErlXakPihhKDA?sub_confirmation=1"
1,Dr Phil,"a lot of cute groups are switching to more girl crush concepts but I'm glad that Oh my girl is staying cute, bc cutsy concepts just make me really happy"
2,Wanna Boe,"Secret Garden: 
Remember Me: 
SSFWL: 
BUNGEE: "
3,Redy Pajero,"Breaking News: Oh My Girl's Jiho to go on a hiatus / taking break from activities due to health and anxiety issues
Hope she'll get a good treatment, rest well so that she can get better and recover soon, to be back stronger than before.
We love you and we care about you, Kim Jiho."
4,Lalallala,Who’s here after NONSTOP?
5,Kay,"They learned this choreography only 3 days before filming


Talented queens!"
6,Xecill Maze,"New miracles, heads up.

Hyojung - The talented one
Seunghee - probably the most talented one"
7,D31607,Thanks to queendom i start to Stan this lovely girls i can’t stop listen to their song
8,Xecill Maze,Literally one of the most versatile girl groups in this generation.
9,오빤강남스탈린,노래들이 너무좋아서 팬이안될수가없다    동년배들이 걸그룹좋아할때  소닭보듯했는데  처음으로 걸그룹팬되봅니다
10,Redy Pajero,"Fun fact: OH MY GIRL is the kpop group that other kpop idols stan.
HOW MANY ARE INTERNATIONAL FANS OF OH MY GIRL?
1 Like = 1 Miracle"
11,Juliana Wolf,Who will be Miracle forever?
12,youo ri,퀸덤보고 오마이걸 그룹 약간 궁금해서 유튜브에 오마이걸 검색하고 이런뮤비를 다보네 ㅋㅋㅋㅋ 여돌 무관심인데 오마이걸 좀 매력적임 심지어 내가  댓글도달고있네....
13,Suravi Sarkar,Jiho is such a girl crush..... She has such a face and characteristics which can attract any girl
14,fmaibdka v,퀸덤타고오신분들없나요 이것도진짜 완전쌍큼띵여름곡이었는데... ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
15,룰루앤랄라,"퀸덤 보고 팬돼서 뮤비 싹다 둘러보고있는데 
옴걸 뮤비는 색감이 항상 이쁘네 ㅠㅠ 더 빛나게 해주는거같아 영상미가 더 더 뭔가 동심?? 판타지속으로 들어가는 느낌이야 ㅠ 결론은 오마이걸 흥했으면 ㅠ 쉽게 입덕 안하는 타입인데 후"
16,Niklas Epp,"To me, oh my girl is the group with the best visuals, every member has such a beautiful smile and elegance, I love it"
17,임용현,오마이걸 님들한텐 악플보다 선플이 더 많다는거 아시죠 악플 몇개에 관심 가지지 마시고 선플에 관심 가지셔서 악플 생각안나게 선플들만 읽어주세요 제발요 선플은 미라클 성의니 무시하지마세요! 악플은 무시해도됨! 미라클성의 무시하심 안되요! 꼭이요! 팬으로써 완전 사랑합니다! 힘내시구 오래가는 걸그룹 되세요!
18,Sul Cho,긴바지 입은 거 너무 치인다ㅠㅜㅠㅠㅠㅜㅠㅠㅠ 앞으로도 긴바지 좀 많이 입혀주세요
19,Zapuna La Luna,Idk why but Oh My Girl songs always instantly put a smile on my face. They are the best at spreading happines.
